GenreLink,Genre,NumberOfPeople
/work/shelves/2679813,own,4
/work/shelves/2679813,electrical-engineering,3
/work/shelves/96429,short-introductions,2
/work/shelves/96429,فلسفة,2
/work/shelves/96429,vsi-philosophy,2
/work/shelves/96429,abandoned,2
/work/shelves/96429,to-read-philosophy,2
/work/shelves/96429,to-check-out,2
/work/shelves/96432,philosophy,134
/work/shelves/96432,currently-reading,63
/work/shelves/96432,non-fiction,36
/work/shelves/96432,history,27
/work/shelves/96432,very-short-introductions,24
/work/shelves/96431,a-very-short-introduction-series,2
/work/shelves/96431,religion-and-philosophy,2
/work/shelves/96431,library,2
/work/shelves/96431,democracy,2
/work/shelves/96431,english,2
/work/shelves/2676767,2019,2
/work/shelves/2676767,noir,2
/work/shelves/2676767,crime-suspense,2
/work/shelves/2676767,collection,2
/work/shelves/2676767,california,2
/work/shelves/2676767,for-school,2
/work/shelves/96433,oxford-very-short-introd,1
/work/shelves/96433,x-new,1
/work/shelves/96433,zoxfordcollection,1
/work/shelves/96433,legal-literature,1
